ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1
3795592,Female,No,39,Yes,Artist,3,Low,4,Cat_6
3458237,Female,No,29,No,Marketing,8,Low,4,Cat_6
4226690,Female,Yes,37,Yes,Artist,4,Low,4,Cat_5
3462359,Female,Yes,39,Yes,Engineer,0,Average,2,Cat_6
3743534,Female,Yes,48,Yes,Artist,0,Average,5,Cat_7
3814756,Female,No,32,Yes,Doctor,0,Low,3,Cat_6
3902805,Male,Yes,78,No,Lawyer,1,Low,,Cat_6
3902390,Female,Yes,43,No,Engineer,0,Average,5,Cat_4
4199097,Male,No,29,No,Marketing,8,Low,5,Cat_6
3867281,Female,Yes,28,No,Engineer,9,Average,2,Cat_4
3803561,Male,Yes,80,Yes,Lawyer,1,Low,1,Cat_6
3908760,Female,No,28,Yes,Healthcare,7,Low,4,Cat_6
3666730,Male,Yes,71,Yes,Artist,6,Average,3,Cat_6
3955285,Male,Yes,67,No,Lawyer,0,High,9,Cat_4
3543436,Female,No,26,No,Engineer,0,Low,1,Cat_2
3367600,Female,Yes,47,Yes,Engineer,0,Average,2,Cat_6
3836293,Female,Yes,43,Yes,Artist,2,Average,2,Cat_6
3624596,Female,No,27,Yes,Healthcare,0,Low,4,Cat_6
4013926,Female,Yes,45,Yes,Marketing,8,Low,4,Cat_6
3709116,Male,Yes,76,No,Executive,1,Low,1,Cat_6
3286289,Female,Yes,43,Yes,Artist,3,Average,4,Cat_6
3509994,Female,Yes,78,Yes,Lawyer,1,High,2,Cat_6
3514616,Male,Yes,35,Yes,Artist,3,Average,3,Cat_6
3605779,Female,No,49,Yes,Artist,1,Low,1,Cat_6
4174885,Female,No,25,Yes,Healthcare,1,Low,5,Cat_6
4064710,Male,Yes,37,No,Executive,0,Average,5,Cat_6
4098743,Female,No,32,No,Healthcare,1,Low,5,
3354584,Male,Yes,60,Yes,Doctor,0,Average,2,Cat_6
3619845,Female,Yes,45,Yes,Artist,5,Average,3,Cat_6
3665699,Female,Yes,49,Yes,Homemaker,9,Average,3,Cat_6
3299364,Male,No,32,Yes,Artist,0,Low,5,Cat_6
3907434,Female,Yes,40,Yes,Artist,0,Low,3,Cat_3
4049680,Male,Yes,59,No,Artist,2,Average,2,Cat_4
3389398,Male,Yes,48,Yes,Artist,3,Low,5,Cat_6
3942445,Male,Yes,82,Yes,Executive,0,High,2,Cat_6
3812709,Female,Yes,70,Yes,Lawyer,0,Low,2,Cat_6
3975060,Male,No,31,Yes,Artist,5,Low,2,Cat_6
4152393,Female,Yes,72,Yes,Lawyer,0,High,2,Cat_6
3771765,Male,Yes,50,Yes,Artist,3,Average,4,Cat_6
4092111,Female,No,23,No,Engineer,11,Low,1,Cat_3
4013170,Female,No,20,No,Healthcare,2,Low,6,Cat_6
4055681,Female,No,22,No,Healthcare,4,Low,3,Cat_6
4114582,Female,No,31,Yes,Engineer,8,Low,1,Cat_6
3555009,Female,Yes,36,Yes,Artist,7,Average,2,Cat_6
3723750,Male,Yes,52,No,Entertainment,,Average,5,Cat_4
4052888,Female,No,29,Yes,Artist,,Low,1,Cat_4
3613337,Male,Yes,40,Yes,Artist,4,Average,4,Cat_6
3501639,Female,No,40,Yes,Artist,1,Low,1,Cat_6
3333221,Male,Yes,38,Yes,Artist,,Low,2,Cat_6
4221471,Female,Yes,85,No,Lawyer,,Low,,
3997865,Female,No,21,No,Doctor,1,Low,3,Cat_7
3734819,Female,Yes,41,No,Engineer,4,Average,2,Cat_6
3386981,Male,Yes,40,Yes,Artist,0,Low,2,Cat_6
4184365,Male,Yes,53,Yes,Artist,1,Average,3,Cat_6
3595461,Female,Yes,42,Yes,Artist,5,Low,2,Cat_6
3753586,Male,Yes,42,No,Executive,8,Low,2,Cat_6
4078376,Male,Yes,48,Yes,Artist,,Average,4,Cat_7
4086496,Male,Yes,59,Yes,Artist,7,Low,2,Cat_6
3857688,Male,Yes,41,Yes,Executive,1,Average,3,Cat_6
3326934,Female,Yes,31,Yes,Artist,0,Average,2,Cat_6
3783625,Female,Yes,49,Yes,Artist,1,High,5,Cat_6
3537292,Male,Yes,67,Yes,Executive,1,Low,2,Cat_6
3996786,Male,Yes,35,No,Artist,4,Average,2,Cat_6
3583261,Female,No,26,Yes,Healthcare,0,Low,3,Cat_6
3779932,Male,,19,No,Healthcare,9,Low,3,Cat_3
3974030,Female,Yes,25,No,Engineer,6,Average,8,Cat_4
3671062,Female,Yes,39,Yes,Healthcare,4,Low,2,Cat_6
3418467,Male,Yes,63,Yes,Entertainment,0,Low,2,Cat_6
3399453,Male,No,23,No,Healthcare,8,Low,3,Cat_6
3443388,Female,No,23,No,Healthcare,0,Low,3,Cat_3
3758013,Female,Yes,53,Yes,Artist,2,Low,1,Cat_6
4084142,Male,No,33,Yes,Doctor,0,Low,2,Cat_6
3863671,Female,Yes,50,No,Engineer,,Average,4,Cat_2
4112284,Female,Yes,69,Yes,Engineer,0,Low,2,Cat_4
3467795,Male,No,37,Yes,Artist,2,Low,1,Cat_6
3335609,Female,No,20,No,Marketing,3,Low,4,Cat_7
4051842,Female,,85,No,Lawyer,0,High,1,Cat_3
3666345,Female,Yes,49,Yes,Doctor,1,Average,4,Cat_6
3379345,Male,No,18,No,Healthcare,0,Low,3,Cat_3
3286770,Female,Yes,52,Yes,Doctor,0,Average,2,Cat_6
3807321,Male,Yes,25,No,Doctor,,Average,2,Cat_4
3751476,Male,Yes,56,No,Executive,,High,2,Cat_6
3561567,Male,No,62,Yes,,0,Low,1,Cat_6
4226685,Female,No,35,,Artist,0,Low,3,Cat_6
3361090,Male,Yes,28,Yes,Engineer,0,Average,2,Cat_6
3432095,Female,No,28,Yes,Artist,7,Low,3,Cat_6
3453934,Male,No,20,No,Healthcare,0,Low,5,Cat_7
3388050,Female,No,27,No,Homemaker,8,Low,1,Cat_3
3889568,Female,No,56,No,Engineer,,Low,1,Cat_6
4026591,Male,Yes,45,Yes,Artist,4,Average,4,Cat_6
4036419,Male,No,25,Yes,Healthcare,1,Low,4,Cat_4
3869790,Male,No,40,No,Marketing,1,Low,1,Cat_4
3785692,Female,Yes,25,Yes,Healthcare,,Low,2,Cat_6
3603324,Female,Yes,74,No,Lawyer,,High,2,Cat_6
4103719,Female,No,23,No,Healthcare,0,Low,4,
3524221,Female,Yes,67,Yes,Lawyer,0,High,2,Cat_6
3276179,Male,No,21,No,Healthcare,0,Low,4,
3596196,Female,No,38,Yes,Artist,9,Low,1,Cat_3
3749107,Male,No,28,No,Healthcare,0,Low,4,Cat_2
3574078,Female,No,32,No,Healthcare,1,Low,5,Cat_7
3665780,Female,No,33,Yes,,0,Low,4,
3939619,Female,Yes,56,No,Lawyer,1,High,4,Cat_4
3559295,Female,Yes,53,Yes,Artist,1,Low,2,Cat_6
4005751,Male,Yes,57,No,Executive,1,High,5,Cat_6
3381027,Female,Yes,59,Yes,Artist,0,Average,3,Cat_6
4058867,Female,Yes,25,Yes,Healthcare,1,High,4,Cat_4
3365616,Male,Yes,59,Yes,Artist,0,Average,6,Cat_6
3351697,Female,Yes,36,Yes,Artist,0,Low,4,Cat_6
3315138,Male,Yes,37,Yes,Entertainment,7,Low,2,Cat_6
3858240,Male,No,22,No,Doctor,1,Low,3,Cat_2
3481359,Male,Yes,43,Yes,Artist,1,Low,2,Cat_6
3547339,Male,Yes,41,Yes,Artist,1,Low,2,Cat_4
3491687,Female,No,21,No,Engineer,0,Low,5,Cat_2
3802558,Female,No,49,No,Engineer,1,Low,,Cat_7
3652153,Male,No,38,Yes,Doctor,8,Low,1,Cat_2
3456043,Male,Yes,47,No,Artist,,Average,4,Cat_6
3492808,Male,Yes,70,Yes,Lawyer,1,High,3,Cat_6
4111715,Female,No,31,No,Engineer,1,Low,4,Cat_6
3852488,Female,Yes,82,No,Lawyer,0,Average,2,Cat_6
3777177,Female,Yes,51,No,Executive,,Low,1,Cat_6
3421099,Female,No,42,No,Homemaker,11,Low,,Cat_6
3864170,Male,No,38,Yes,Artist,8,Low,3,Cat_2
4131269,Male,Yes,18,No,Executive,0,High,4,Cat_6
3964460,Male,Yes,50,Yes,Artist,6,Average,3,Cat_6
3342730,Female,No,46,Yes,Doctor,1,Low,,Cat_3
3403182,Female,Yes,72,No,Lawyer,1,High,3,Cat_6
3778608,Female,No,33,No,Engineer,,Low,4,Cat_6
4173676,Female,No,25,No,Homemaker,1,Low,7,Cat_4
4176774,Female,Yes,75,No,Entertainment,2,High,2,Cat_2
4119554,Male,No,72,Yes,Artist,1,Low,1,Cat_6
4203192,Female,Yes,72,Yes,Artist,0,Average,3,Cat_4
3891475,Male,Yes,36,Yes,Entertainment,6,Low,6,Cat_4
3437734,Male,Yes,40,Yes,Artist,1,Low,2,Cat_6
4103390,Female,No,28,Yes,Entertainment,0,Low,4,Cat_6
3446495,Female,No,28,Yes,Doctor,0,Low,3,Cat_6
3316229,Male,,19,No,Entertainment,0,High,3,Cat_4
3377501,Male,Yes,43,Yes,Artist,0,Low,2,Cat_4
3399631,Female,Yes,35,Yes,Artist,1,Average,2,Cat_6
3694384,Male,Yes,65,Yes,Lawyer,1,High,2,Cat_6
4163915,Male,Yes,52,Yes,Executive,7,High,4,Cat_4
3393049,Female,No,40,Yes,Artist,1,Low,1,Cat_6
3617998,Female,Yes,69,No,Engineer,9,Low,3,Cat_6
3554842,Female,No,22,No,Healthcare,3,Low,3,Cat_6
3876440,Male,Yes,47,Yes,Executive,1,Average,4,Cat_6
3692625,Male,Yes,29,Yes,Marketing,1,High,2,Cat_3
3897073,Male,Yes,46,Yes,Artist,1,Average,3,Cat_3
3708463,Male,No,32,Yes,Artist,1,Low,2,Cat_6
3627318,Female,No,38,Yes,Healthcare,0,Low,1,Cat_2
4121194,Male,Yes,59,Yes,Artist,0,Low,1,Cat_6
3559508,Female,No,26,Yes,Entertainment,1,Low,1,Cat_6
3528202,Male,No,26,Yes,Healthcare,1,Low,2,Cat_3
3355882,Male,No,28,No,Marketing,0,Low,1,Cat_3
3526976,Female,Yes,53,Yes,Engineer,1,Average,3,Cat_6
3936733,Female,No,43,,Entertainment,,Low,1,Cat_6
3351838,Male,No,27,No,Doctor,1,Low,3,Cat_6
3556930,Female,No,32,No,Artist,,Low,8,Cat_6
3875860,Male,No,26,No,Engineer,0,Low,4,Cat_4
3432605,Female,No,31,No,Entertainment,0,Low,2,Cat_6
3506759,Male,Yes,39,Yes,Executive,1,High,3,Cat_3
3711514,Female,Yes,43,No,Engineer,1,Low,3,Cat_7
3469317,Male,Yes,25,No,Doctor,1,Low,2,Cat_1
3984313,Male,Yes,40,Yes,Artist,3,High,3,Cat_6
4124399,Female,Yes,40,Yes,Entertainment,7,Average,2,Cat_3
3301835,Male,Yes,63,Yes,Entertainment,,Average,3,Cat_6
4161676,Female,Yes,27,Yes,Healthcare,,Low,2,Cat_6
3297347,Male,No,27,Yes,Healthcare,1,Low,3,Cat_6
3606868,Female,No,19,No,Healthcare,1,Low,2,Cat_6
4056641,Female,Yes,86,Yes,Lawyer,0,High,2,Cat_6
3932373,Male,Yes,41,Yes,Marketing,,High,2,Cat_6
4191714,Female,Yes,27,Yes,Artist,4,Average,2,Cat_3
3363819,Female,Yes,70,No,Doctor,0,Average,2,Cat_6
3413464,Female,Yes,53,No,Engineer,8,Average,4,Cat_4
4135310,Female,Yes,49,No,Engineer,,Average,4,Cat_4
3667912,Male,Yes,55,No,Executive,3,Low,,Cat_4
3998845,Female,,57,Yes,Engineer,0,Average,4,Cat_2
3682583,Male,Yes,83,No,Lawyer,,Low,1,Cat_4
3606309,Male,Yes,43,No,Executive,0,High,4,Cat_6
3595890,Male,Yes,36,No,Doctor,6,Low,3,Cat_6
3322462,Male,Yes,74,Yes,Lawyer,0,Low,2,Cat_6
3819196,Female,No,30,No,Homemaker,0,Low,4,Cat_6
3293222,Female,No,37,Yes,Artist,5,Low,2,Cat_6
3635819,Female,No,22,No,Marketing,0,Low,1,Cat_5
4139269,Male,No,19,No,Healthcare,0,Low,4,Cat_6
3307483,Male,Yes,70,Yes,Engineer,4,High,2,Cat_6
4037775,Male,Yes,89,Yes,Lawyer,13,Low,1,Cat_6
3602479,Male,No,18,No,Healthcare,,Low,4,Cat_6
3943791,Male,No,25,Yes,Doctor,6,Low,1,Cat_2
3842632,Female,No,45,Yes,Artist,4,Low,1,Cat_3
3598466,Female,No,35,Yes,Artist,3,Low,1,Cat_4
3318909,Female,Yes,37,No,Engineer,7,Low,1,Cat_4
3595160,Female,Yes,39,No,Engineer,4,Average,2,Cat_6
3309833,Female,No,32,Yes,Healthcare,1,Low,5,Cat_4
3622314,Female,Yes,62,Yes,Artist,2,Average,3,Cat_6
3388478,Female,Yes,58,Yes,Engineer,0,Average,4,Cat_4
3875453,Female,No,32,No,Engineer,,Low,4,Cat_6
3803437,Male,No,25,No,Healthcare,0,Low,5,Cat_6
3658779,Female,Yes,56,Yes,Artist,0,Average,4,Cat_6
4072750,Female,No,36,Yes,Entertainment,10,Low,2,Cat_6
3968265,Female,No,30,No,Healthcare,8,Low,3,Cat_6
3974304,Male,No,19,No,Healthcare,1,Low,5,Cat_6
3332611,Male,No,27,Yes,Healthcare,0,Low,2,Cat_6
4098814,Female,No,38,Yes,Doctor,14,Low,1,Cat_6
3365406,Male,Yes,46,Yes,Artist,8,Average,2,Cat_6
3436940,Male,No,29,Yes,Artist,3,Low,1,Cat_6
3619923,Male,Yes,51,No,Entertainment,1,Average,4,Cat_7
3506639,Male,Yes,55,No,Artist,0,Low,1,Cat_6
3764300,Female,Yes,69,Yes,Engineer,1,Low,1,Cat_3
3496567,Female,No,26,No,Healthcare,1,Low,8,Cat_7
3337749,Female,Yes,83,Yes,Lawyer,0,Low,3,Cat_6
4086089,Female,No,39,Yes,Healthcare,9,Low,1,Cat_6
3752165,Male,Yes,35,Yes,Artist,9,Low,1,Cat_6
4006999,Male,Yes,19,No,Marketing,2,High,5,Cat_6
4207823,Female,Yes,60,Yes,Artist,,High,4,Cat_6
3665241,Male,Yes,35,Yes,Artist,,Average,4,Cat_6
4133412,Female,No,53,Yes,Engineer,,Low,1,Cat_6
4062752,Female,Yes,86,No,Lawyer,,Low,,Cat_6
3378078,Female,No,29,No,Healthcare,1,Low,3,Cat_6
4021942,Female,No,26,No,Doctor,0,Low,1,Cat_6
3717917,Male,No,36,Yes,Engineer,8,Low,1,Cat_6
3436374,Female,No,22,No,Homemaker,0,Low,4,Cat_6
3858730,Male,No,19,No,Marketing,0,Low,5,Cat_6
3937892,Female,Yes,20,Yes,Lawyer,1,Average,3,Cat_3
4076748,Male,No,43,Yes,Healthcare,3,Low,3,Cat_6
3414463,Female,No,42,Yes,Artist,,Low,3,Cat_6
3512587,Male,No,43,Yes,Entertainment,1,Low,2,Cat_4
4219752,Female,Yes,50,Yes,Engineer,4,High,3,Cat_6
3564001,Male,No,25,Yes,Entertainment,1,Low,2,Cat_6
3289869,Male,Yes,61,No,Artist,1,High,2,Cat_6
3435709,Female,Yes,28,Yes,Healthcare,0,Average,2,Cat_6
3341872,Male,No,38,Yes,Artist,1,Low,1,Cat_6
3501040,Male,No,25,No,Executive,12,Low,3,Cat_6
3693214,Female,No,18,No,Healthcare,9,Low,5,Cat_4
3856778,Male,Yes,43,Yes,Entertainment,1,Average,5,Cat_5
3837689,Female,No,27,Yes,Artist,8,Low,1,Cat_6
3855722,Female,No,60,Yes,Entertainment,1,Low,2,Cat_6
3571909,Male,Yes,75,Yes,Lawyer,2,Low,1,Cat_6
3643567,Female,No,31,No,Doctor,,Low,4,Cat_6
4224241,Male,No,23,No,Doctor,6,Low,4,Cat_2
3702957,Male,No,36,Yes,Artist,8,Low,1,Cat_6
3296562,Male,No,30,No,Doctor,1,Low,1,Cat_3
3633515,Male,Yes,56,No,Artist,1,Average,2,Cat_6
3747787,Female,Yes,52,Yes,Artist,2,Low,2,Cat_6
3452931,Male,Yes,39,Yes,Entertainment,0,Low,1,Cat_6
3735732,Female,No,35,No,Artist,5,Low,1,Cat_6
3487437,Male,Yes,33,No,Engineer,0,Average,2,Cat_6
3329460,Female,No,25,Yes,Artist,0,Low,6,Cat_6
3556531,Female,Yes,27,Yes,Artist,0,Average,2,Cat_4
3369390,Male,Yes,35,Yes,Artist,1,High,3,Cat_6
3468581,Female,Yes,41,Yes,Artist,1,Average,2,Cat_6
3638824,Female,Yes,49,Yes,Artist,,Average,3,Cat_7
3533351,Female,Yes,46,No,Artist,8,Average,2,Cat_6
3604320,Female,No,31,No,Healthcare,,Low,2,Cat_6
4176252,Male,No,49,Yes,Doctor,,Low,1,Cat_6
3934949,Female,No,26,Yes,Artist,9,Low,1,Cat_6
4013156,Male,Yes,43,Yes,Doctor,13,High,2,Cat_6
3386283,Female,Yes,30,Yes,Artist,8,Low,4,Cat_6
3529017,Female,Yes,70,Yes,Artist,1,Average,4,Cat_6
4055305,Female,No,28,Yes,Artist,,Low,1,Cat_6
3769249,Female,Yes,89,No,Lawyer,3,High,1,Cat_6
3397139,Female,Yes,42,No,Homemaker,6,High,4,Cat_6
3286011,Female,Yes,37,Yes,Entertainment,6,Average,3,Cat_4
3781303,Male,Yes,29,No,Executive,1,Average,3,Cat_6
4025155,Female,Yes,68,Yes,Artist,1,High,2,Cat_6
3335430,Female,No,25,No,Engineer,1,Low,1,Cat_4
3659696,Male,No,29,No,Healthcare,1,Low,,Cat_6
4104023,Female,Yes,48,Yes,Doctor,0,Low,2,Cat_6
4117649,Female,Yes,51,Yes,Doctor,1,Average,3,Cat_1
3384065,Female,Yes,40,Yes,Engineer,1,High,5,Cat_2
4219401,Male,Yes,47,Yes,Artist,0,Average,6,Cat_7
3439658,Male,Yes,39,Yes,Executive,,High,3,Cat_6
3325521,Male,Yes,35,Yes,Executive,1,Average,4,Cat_6
3494369,Female,No,19,No,Healthcare,2,Low,3,Cat_6
3514288,Female,No,21,No,Healthcare,7,Low,,Cat_6
4225874,Male,Yes,46,Yes,Entertainment,0,Average,3,Cat_4
3962324,Male,Yes,86,Yes,Lawyer,0,Low,1,Cat_6
4165662,Male,Yes,66,Yes,Artist,0,High,2,Cat_6
3639663,Male,No,42,No,Marketing,1,Low,5,Cat_4
4109477,Female,Yes,73,Yes,Lawyer,1,High,2,Cat_6
3524418,Male,Yes,72,No,Engineer,1,Low,1,Cat_6
3616563,Male,Yes,53,Yes,Artist,0,Low,3,Cat_6
4174404,Female,Yes,39,Yes,Artist,8,Average,2,Cat_6
3728048,Female,No,27,No,Homemaker,9,Low,1,Cat_6
3563646,Male,Yes,63,No,Entertainment,1,Average,,Cat_6
3519604,Female,No,23,No,Healthcare,1,Low,3,Cat_4
3559581,Female,No,30,Yes,Entertainment,0,Low,4,Cat_6
